Vendor Name,Invoice Number,Purchase Order (PO) ID,Payment Status,Discount Due Date,Asset ID,Asset Description,Acquisition Date,Depreciation Method,Useful Life (Years),Salvage Value
Redwood Analytics,INV-435872,PO-77357,Paid,2024-10-29,EQ-0415,Generator,2024-09-14,Straight-Line,7,34861.0
Atlas Cloud Services,INV-818699,PO-65601,Paid,2025-01-22,IT-0416,Server,2025-01-12,Double Declining Balance,20,27483.0
Granite Construction,INV-851690,PO-53478,Paid,2027-01-02,IT-0417,Switch,2026-11-18,Straight-Line,20,2185.64
Summit Logistics,INV-371212,PO-63429,Partial,2019-08-26,FF-0418,Desk,2019-08-11,Units of Production,15,18165.79
Metro Print & Copy,INV-106185,PO-94072,Scheduled,2023-08-29,FF-0419,Desk,2023-07-15,Straight-Line,10,11991.09
Phoenix Data Centers,INV-819195,PO-49498,Scheduled,2025-08-05,IT-0420,Monitor,2025-07-26,Straight-Line,15,2647.41
Evergreen Facilities,INV-243006,PO-61248,Scheduled,2024-01-12,EQ-0421,Generator,2023-11-28,Sum-of-Years-Digits,10,5393.11
Metro Print & Copy,INV-229221,PO-15475,Paid,2020-09-12,FF-0422,Desk,2020-08-13,MACRS,15,30625.12
Catalyst Training Group,INV-460554,PO-37752,Partial,2023-06-13,FF-0423,Chair,2023-06-03,MACRS,20,36152.94
Pinnacle Manufacturing,INV-938504,PO-84356,Paid,2020-11-05,VH-0424,Forklift,2020-10-21,MACRS,5,2358.34
BlueSky Marketing,INV-708798,PO-73857,Overdue,2026-04-04,FF-0425,Desk,2026-03-25,Sum-of-Years-Digits,7,2089.27
Pinnacle Manufacturing,INV-433222,PO-73682,Partial,2026-07-27,IT-0426,Monitor,2026-07-12,Sum-of-Years-Digits,15,3478.15
Catalyst Training Group,INV-431699,PO-66139,Pending,2026-06-23,BL-0427,Office Renovation,2026-05-24,Straight-Line,15,15606.79
Horizon Telecom,INV-447668,PO-72908,Partial,2021-10-20,EQ-0428,CNC Machine,2021-10-05,Units of Production,7,5425.22
Sterling Furniture,INV-982683,PO-46780,Pending,2022-07-20,BL-0429,Office Renovation,2022-06-05,MACRS,5,23930.51
Meridian Consulting,INV-710156,PO-85877,Partial,2021-12-24,IT-0430,Laptop,2021-12-14,MACRS,15,9080.95
Meridian Consulting,INV-483588,PO-61445,Pending,2019-06-30,BL-0431,Parking Lot,2019-05-31,MACRS,10,28586.45
Oasis Water Services,INV-794868,PO-41310,Scheduled,2022-04-21,EQ-0432,Generator,2022-04-06,Double Declining Balance,10,12016.8
Phoenix Data Centers,INV-791444,PO-29162,Partial,2024-10-21,EQ-0433,Compressor,2024-10-06,Sum-of-Years-Digits,5,28647.36
TechVault Solutions,INV-801062,PO-37102,Scheduled,2021-07-30,VH-0434,Truck,2021-06-15,Sum-of-Years-Digits,7,8284.33
Nexus Software,INV-646699,PO-93042,Overdue,2024-05-22,IT-0435,Laptop,2024-04-07,Sum-of-Years-Digits,20,5595.78
Apex Janitorial,INV-976052,PO-20202,Scheduled,2025-02-22,EQ-0436,HVAC Unit,2025-02-07,Sum-of-Years-Digits,7,22874.36
Nexus Software,INV-733561,PO-10864,Scheduled,2021-08-15,FF-0437,Filing Cabinet,2021-07-01,Double Declining Balance,10,25477.31
BlueSky Marketing,INV-295984,PO-30625,Overdue,2020-11-24,IT-0438,Router,2020-11-09,MACRS,20,6056.99
Trident HVAC Systems,INV-602073,PO-72786,Pending,2020-05-14,EQ-0439,CNC Machine,2020-04-29,MACRS,20,3692.61
Atlas Cloud Services,INV-268956,PO-27658,Scheduled,2026-05-20,IT-0440,Server,2026-04-05,Straight-Line,3,4628.05
Quantum Electronics,INV-525151,PO-88558,Scheduled,2025-06-17,IT-0441,Server,2025-06-02,Straight-Line,7,18659.47
Quantum Electronics,INV-605065,PO-32356,Pending,2026-07-03,IT-0442,Server,2026-06-03,Units of Production,10,31726.56
Catalyst Training Group,INV-818894,PO-54914,Partial,2020-08-22,BL-0443,Parking Lot,2020-08-07,MACRS,15,5249.2
Apex Janitorial,INV-648102,PO-76107,Partial,2019-10-24,EQ-0444,HVAC Unit,2019-10-09,Double Declining Balance,5,1520.0
Catalyst Training Group,INV-197716,PO-73208,Pending,2020-02-14,EQ-0445,Generator,2020-01-30,MACRS,15,21569.5
Granite Construction,INV-655552,PO-66224,Pending,2019-02-19,BL-0446,Warehouse Expansion,2019-01-05,Units of Production,7,12988.96
Keystone Legal Services,INV-240386,PO-43360,Partial,2023-05-11,BL-0447,Parking Lot,2023-04-11,Double Declining Balance,20,9797.3
Bridgeport Packaging,INV-843596,PO-10932,Scheduled,2020-01-09,BL-0448,Parking Lot,2019-12-10,MACRS,10,5334.44
Greenfield Energy,INV-479867,PO-23970,Pending,2024-11-08,EQ-0449,Compressor,2024-10-29,Units of Production,20,20581.3
Metro Print & Copy,INV-813666,PO-62095,Pending,2025-08-24,FF-0450,Conference Table,2025-07-25,Units of Production,15,13660.85
Granite Construction,INV-421549,PO-85713,Overdue,2025-05-17,VH-0451,Forklift,2025-04-02,Units of Production,15,17890.18
Oasis Water Services,INV-324875,PO-76629,Partial,2020-07-29,VH-0452,Company Car,2020-07-19,Sum-of-Years-Digits,20,18518.15
Keystone Legal Services,INV-963245,PO-29048,Partial,2025-03-15,VH-0453,Company Car,2025-03-05,MACRS,20,321.86
Ironclad Security,INV-859687,PO-60374,Partial,2020-01-07,FF-0454,Chair,2019-12-28,MACRS,7,3036.43
Metro Print & Copy,INV-111230,PO-36438,Scheduled,2024-12-04,BL-0455,Office Renovation,2024-11-04,Sum-of-Years-Digits,5,20901.29
Meridian Consulting,INV-786837,PO-10037,Pending,2019-06-02,BL-0456,Office Renovation,2019-05-18,Straight-Line,20,1034.72
Vanguard Equipment Co,INV-872722,PO-18993,Paid,2023-07-25,EQ-0457,HVAC Unit,2023-06-25,MACRS,15,6767.33
Evergreen Facilities,INV-576849,PO-62947,Scheduled,2025-05-09,FF-0458,Filing Cabinet,2025-04-09,Straight-Line,5,31007.2
Vanguard Equipment Co,INV-456480,PO-25336,Scheduled,2021-01-31,BL-0459,Office Renovation,2020-12-17,Sum-of-Years-Digits,15,2443.63
Quantum Electronics,INV-894268,PO-54520,Partial,2025-02-11,EQ-0460,HVAC Unit,2025-01-12,Units of Production,15,21064.21
Quantum Electronics,INV-926965,PO-38885,Pending,2025-08-10,EQ-0461,Generator,2025-07-31,Sum-of-Years-Digits,7,1955.56
Ironclad Security,INV-885161,PO-54825,Paid,2022-12-27,FF-0462,Chair,2022-12-17,MACRS,7,2732.92
Bridgeport Packaging,INV-291663,PO-99536,Pending,2021-02-15,FF-0463,Filing Cabinet,2021-01-01,Units of Production,5,31965.07
Oasis Water Services,INV-361824,PO-91080,Overdue,2021-04-12,VH-0464,Forklift,2021-03-28,Double Declining Balance,5,4871.94
Phoenix Data Centers,INV-901368,PO-80972,Paid,2020-03-22,IT-0465,Switch,2020-03-12,Units of Production,20,18419.76
Sterling Furniture,INV-635962,PO-46735,Partial,2026-01-16,EQ-0466,CNC Machine,2025-12-17,Double Declining Balance,10,9574.22
Phoenix Data Centers,INV-134144,PO-75860,Overdue,2025-07-05,IT-0467,Router,2025-06-20,Units of Production,10,24038.08
Crestview Landscaping,INV-822689,PO-11103,Paid,2026-09-27,EQ-0468,Generator,2026-09-12,Double Declining Balance,20,16226.38
Nexus Software,INV-675210,PO-44452,Pending,2025-07-17,FF-0469,Filing Cabinet,2025-07-07,Sum-of-Years-Digits,15,20141.75
Pacific Fleet Services,INV-834750,PO-58799,Overdue,2025-12-16,FF-0470,Chair,2025-11-16,Units of Production,10,9107.09
Vanguard Equipment Co,INV-204721,PO-45382,Pending,2024-02-05,BL-0471,Office Renovation,2024-01-21,MACRS,15,15199.37
Ironclad Security,INV-541996,PO-75483,Pending,2023-04-25,VH-0472,Van,2023-04-10,MACRS,10,10894.42
Granite Construction,INV-517754,PO-22972,Pending,2022-08-31,FF-0473,Filing Cabinet,2022-07-17,Straight-Line,15,30488.9
Meridian Consulting,INV-477808,PO-83446,Scheduled,2021-12-22,IT-0474,Printer,2021-11-07,Sum-of-Years-Digits,20,7849.24
Sterling Furniture,INV-703869,PO-95179,Scheduled,2019-05-07,IT-0475,Monitor,2019-03-23,Double Declining Balance,20,12714.95
Phoenix Data Centers,INV-499581,PO-90434,Overdue,2022-04-10,FF-0476,Conference Table,2022-03-11,Units of Production,20,21584.12
Metro Print & Copy,INV-990136,PO-19351,Paid,2020-08-31,FF-0477,Conference Table,2020-08-16,Double Declining Balance,20,21856.81
Horizon Telecom,INV-514664,PO-45553,Partial,2021-08-22,FF-0478,Filing Cabinet,2021-07-23,Sum-of-Years-Digits,20,9943.28
Oasis Water Services,INV-863124,PO-40753,Overdue,2025-09-15,EQ-0479,Compressor,2025-08-01,Straight-Line,5,11998.97
Meridian Consulting,INV-675074,PO-17055,Paid,2020-12-29,IT-0480,Laptop,2020-11-14,Units of Production,3,44737.15
Redwood Analytics,INV-508783,PO-50549,Pending,2019-12-17,FF-0481,Chair,2019-12-07,Double Declining Balance,3,32665.37
Oasis Water Services,INV-136862,PO-96972,Overdue,2022-04-23,VH-0482,Van,2022-03-09,Sum-of-Years-Digits,15,16653.65
Crestview Landscaping,INV-831510,PO-80685,Pending,2024-06-18,BL-0483,Warehouse Expansion,2024-05-04,MACRS,15,8229.21
Catalyst Training Group,INV-464032,PO-73131,Scheduled,2024-03-30,BL-0484,Parking Lot,2024-02-14,Double Declining Balance,20,13544.17
Keystone Legal Services,INV-111068,PO-10012,Scheduled,2020-02-16,FF-0485,Filing Cabinet,2020-01-02,Double Declining Balance,10,5032.77
Sterling Furniture,INV-892170,PO-72530,Overdue,2022-05-04,BL-0486,Office Renovation,2022-03-20,Straight-Line,20,29984.23
Phoenix Data Centers,INV-531736,PO-83472,Partial,2023-11-29,BL-0487,Office Renovation,2023-10-30,Units of Production,3,15292.98
Cornerstone IT,INV-351198,PO-77713,Scheduled,2020-12-14,EQ-0488,Compressor,2020-10-30,Sum-of-Years-Digits,7,2409.97
Evergreen Facilities,INV-215717,PO-93478,Partial,2026-05-10,EQ-0489,Compressor,2026-04-10,MACRS,3,3405.97
BlueSky Marketing,INV-660957,PO-12900,Pending,2022-03-05,VH-0490,Forklift,2022-01-19,Straight-Line,3,2319.91
Evergreen Facilities,INV-617555,PO-38467,Overdue,2022-01-22,EQ-0491,Generator,2022-01-07,Units of Production,5,1752.92
Evergreen Facilities,INV-253184,PO-17345,Overdue,2024-09-02,EQ-0492,Generator,2024-08-03,Units of Production,7,3800.73
Summit Logistics,INV-113228,PO-25985,Pending,2025-03-19,VH-0493,Van,2025-02-02,Units of Production,7,23027.67
Phoenix Data Centers,INV-646453,PO-97294,Pending,2024-01-04,IT-0494,Server,2023-12-20,Units of Production,10,32013.4
Nexus Software,INV-676276,PO-78278,Paid,2026-09-22,FF-0495,Chair,2026-08-23,Sum-of-Years-Digits,20,10781.27
Pacific Fleet Services,INV-218414,PO-40928,Partial,2026-03-30,VH-0496,Forklift,2026-02-28,Sum-of-Years-Digits,3,34036.26
Acme Office Supplies,INV-144033,PO-86162,Partial,2020-12-16,BL-0497,Office Renovation,2020-11-16,MACRS,10,17929.83
Pinnacle Manufacturing,INV-454861,PO-91937,Paid,2023-03-12,VH-0498,Van,2023-03-02,Straight-Line,10,3739.73
Sterling Furniture,INV-685472,PO-94495,Overdue,2026-04-09,BL-0499,Office Renovation,2026-03-25,Units of Production,5,10900.04
Oasis Water Services,INV-141406,PO-73609,Partial,2021-03-11,EQ-0500,CNC Machine,2021-03-01,MACRS,20,3137.9
Evergreen Facilities,INV-591147,PO-46087,Scheduled,2025-03-18,VH-0501,Van,2025-02-01,MACRS,15,9031.12
Atlas Cloud Services,INV-100754,PO-93627,Scheduled,2019-10-25,EQ-0502,CNC Machine,2019-10-10,Units of Production,7,14969.72
Oasis Water Services,INV-166418,PO-96283,Scheduled,2021-02-08,BL-0503,Warehouse Expansion,2021-01-29,Units of Production,15,6189.98
Meridian Consulting,INV-772036,PO-52208,Paid,2024-12-31,BL-0504,Office Renovation,2024-11-16,Straight-Line,15,7351.7
Redwood Analytics,INV-212255,PO-73618,Pending,2026-06-01,IT-0505,Server,2026-05-22,Straight-Line,5,12550.51
TechVault Solutions,INV-852715,PO-19289,Paid,2025-07-11,EQ-0506,CNC Machine,2025-05-27,Double Declining Balance,3,8023.04
Metro Print & Copy,INV-536158,PO-58374,Paid,2024-07-15,EQ-0507,Generator,2024-07-05,MACRS,7,23708.3
Vanguard Equipment Co,INV-644719,PO-22729,Paid,2024-12-16,IT-0508,Monitor,2024-12-06,Double Declining Balance,3,20441.53
Granite Construction,INV-685549,PO-83156,Partial,2023-05-13,VH-0509,Van,2023-04-28,Straight-Line,15,31590.24
Phoenix Data Centers,INV-676680,PO-62632,Scheduled,2026-03-30,EQ-0510,HVAC Unit,2026-02-28,Sum-of-Years-Digits,3,7468.75
Silverline Insurance,INV-532373,PO-93000,Partial,2020-11-23,FF-0511,Filing Cabinet,2020-10-09,Sum-of-Years-Digits,15,15128.99
Catalyst Training Group,INV-516379,PO-10025,Paid,2021-09-27,EQ-0512,CNC Machine,2021-09-12,Sum-of-Years-Digits,7,13948.88
Catalyst Training Group,INV-430201,PO-12844,Overdue,2019-03-23,FF-0513,Desk,2019-03-08,MACRS,7,4823.72
Redwood Analytics,INV-377860,PO-58114,Scheduled,2025-04-12,IT-0514,Laptop,2025-03-28,Double Declining Balance,10,6881.51
Cornerstone IT,INV-869933,PO-20118,Overdue,2021-12-15,IT-0515,Router,2021-11-15,Units of Production,10,28091.53
Atlas Cloud Services,INV-704277,PO-60010,Paid,2024-07-02,BL-0516,Parking Lot,2024-06-22,Straight-Line,7,1643.43
Bridgeport Packaging,INV-883997,PO-95561,Scheduled,2022-10-31,EQ-0517,HVAC Unit,2022-10-01,Straight-Line,3,37831.61
Metro Print & Copy,INV-692354,PO-29605,Overdue,2026-03-19,IT-0518,Monitor,2026-02-02,MACRS,15,1105.75
Trident HVAC Systems,INV-889410,PO-88005,Scheduled,2021-07-08,IT-0519,Switch,2021-06-23,MACRS,20,20248.64
Summit Logistics,INV-598969,PO-84899,Paid,2021-08-12,FF-0520,Conference Table,2021-06-28,MACRS,5,3530.15
Nexus Software,INV-604283,PO-83308,Pending,2021-12-21,EQ-0521,HVAC Unit,2021-12-11,Units of Production,20,5697.6
Nexus Software,INV-175124,PO-44898,Partial,2026-05-10,BL-0522,Parking Lot,2026-04-25,Sum-of-Years-Digits,20,11991.03
Silverline Insurance,INV-299742,PO-52039,Overdue,2025-06-27,IT-0523,Switch,2025-06-17,MACRS,10,11687.04
Metro Print & Copy,INV-563690,PO-91681,Pending,2019-05-10,VH-0524,Forklift,2019-04-10,Units of Production,15,42855.94
TechVault Solutions,INV-875507,PO-17148,Pending,2021-08-29,FF-0525,Chair,2021-08-14,MACRS,20,14086.32
Bridgeport Packaging,INV-571923,PO-71759,Paid,2020-09-26,IT-0526,Monitor,2020-08-27,Sum-of-Years-Digits,20,14094.42
Meridian Consulting,INV-248213,PO-97590,Paid,2025-01-27,VH-0527,Forklift,2025-01-12,Units of Production,15,18236.45
Apex Janitorial,INV-830361,PO-90997,Overdue,2026-06-20,FF-0528,Chair,2026-06-10,Straight-Line,3,6003.99
BlueSky Marketing,INV-792165,PO-57214,Paid,2026-05-15,IT-0529,Printer,2026-05-05,Straight-Line,20,10703.71
Evergreen Facilities,INV-430779,PO-73525,Scheduled,2026-05-28,VH-0530,Company Car,2026-04-13,MACRS,15,12114.01
Summit Logistics,INV-141683,PO-42426,Scheduled,2021-02-17,BL-0531,Warehouse Expansion,2021-02-02,Sum-of-Years-Digits,15,38172.37
Horizon Telecom,INV-755602,PO-49626,Pending,2024-08-13,VH-0532,Truck,2024-06-29,MACRS,7,18490.14
Vanguard Equipment Co,INV-259077,PO-54798,Partial,2019-10-11,EQ-0533,Generator,2019-09-11,Double Declining Balance,15,22943.31
Summit Logistics,INV-427557,PO-89346,Overdue,2023-04-30,EQ-0534,Compressor,2023-04-15,Units of Production,15,4620.56
Granite Construction,INV-649249,PO-27727,Partial,2020-07-08,VH-0535,Van,2020-06-23,Double Declining Balance,5,12492.61
Metro Print & Copy,INV-224138,PO-34134,Overdue,2025-05-17,FF-0536,Desk,2025-05-02,Double Declining Balance,15,26961.4
Oasis Water Services,INV-961613,PO-93472,Overdue,2019-05-31,EQ-0537,HVAC Unit,2019-05-01,Double Declining Balance,7,18875.57
Phoenix Data Centers,INV-746915,PO-44978,Scheduled,2021-02-18,VH-0538,Van,2021-02-08,MACRS,3,39652.09
Catalyst Training Group,INV-599753,PO-27575,Scheduled,2021-08-18,VH-0539,Truck,2021-08-03,MACRS,7,3268.82
Pacific Fleet Services,INV-302647,PO-39658,Paid,2027-01-25,VH-0540,Company Car,2026-12-26,Units of Production,10,8808.31
Phoenix Data Centers,INV-894586,PO-36812,Paid,2019-04-02,EQ-0541,Compressor,2019-03-03,Double Declining Balance,20,34986.17
Bridgeport Packaging,INV-143858,PO-89682,Partial,2024-01-19,FF-0542,Conference Table,2023-12-05,Sum-of-Years-Digits,5,12466.1
Nexus Software,INV-144476,PO-42207,Scheduled,2025-11-19,BL-0543,Office Renovation,2025-11-09,MACRS,10,20933.7
Nexus Software,INV-517375,PO-49918,Overdue,2019-07-25,BL-0544,Parking Lot,2019-06-10,Units of Production,3,4708.95
Atlas Cloud Services,INV-586097,PO-94685,Partial,2023-10-27,BL-0545,Office Renovation,2023-09-27,Straight-Line,20,25238.69
Oasis Water Services,INV-126122,PO-33445,Partial,2024-08-22,VH-0546,Van,2024-08-12,MACRS,10,10729.92
Quantum Electronics,INV-846030,PO-31495,Paid,2027-01-12,EQ-0547,Generator,2026-12-28,Straight-Line,7,13139.2
Greenfield Energy,INV-929493,PO-77065,Scheduled,2027-01-16,FF-0548,Desk,2026-12-02,Double Declining Balance,15,20006.14
Nexus Software,INV-257380,PO-31249,Pending,2025-04-18,IT-0549,Server,2025-03-04,Double Declining Balance,7,26876.69
Phoenix Data Centers,INV-567935,PO-47851,Pending,2027-01-05,EQ-0550,CNC Machine,2026-12-26,Straight-Line,7,31721.18
Quantum Electronics,INV-996963,PO-75358,Scheduled,2020-07-07,IT-0551,Router,2020-06-22,Straight-Line,7,439.55
Catalyst Training Group,INV-730421,PO-88656,Paid,2024-07-29,VH-0552,Company Car,2024-07-14,Double Declining Balance,10,12560.47
Quantum Electronics,INV-151295,PO-34227,Pending,2025-03-21,BL-0553,Parking Lot,2025-02-19,Straight-Line,15,37449.38
Metro Print & Copy,INV-412938,PO-53399,Paid,2022-12-10,VH-0554,Truck,2022-11-30,Straight-Line,20,26714.28
Greenfield Energy,INV-723870,PO-85010,Scheduled,2023-09-19,VH-0555,Forklift,2023-09-04,Double Declining Balance,15,26711.15
BlueSky Marketing,INV-497346,PO-18869,Partial,2025-07-29,IT-0556,Laptop,2025-06-29,MACRS,7,8962.42
Summit Logistics,INV-652654,PO-64232,Scheduled,2022-05-29,VH-0557,Truck,2022-04-14,Double Declining Balance,20,20583.46
Trident HVAC Systems,INV-191928,PO-73394,Scheduled,2021-05-16,IT-0558,Router,2021-05-06,Sum-of-Years-Digits,20,21390.84
Ironclad Security,INV-644951,PO-92818,Partial,2025-11-28,FF-0559,Filing Cabinet,2025-10-29,Units of Production,5,21709.12
Keystone Legal Services,INV-755843,PO-25456,Pending,2021-01-21,FF-0560,Chair,2021-01-06,MACRS,3,1687.64
Ironclad Security,INV-111846,PO-93967,Pending,2023-09-02,FF-0561,Filing Cabinet,2023-08-23,Sum-of-Years-Digits,15,30843.34
Vanguard Equipment Co,INV-457943,PO-61910,Scheduled,2019-11-04,FF-0562,Filing Cabinet,2019-10-05,MACRS,3,4638.39
Acme Office Supplies,INV-935981,PO-14660,Pending,2021-01-04,FF-0563,Filing Cabinet,2020-12-20,Units of Production,20,23633.29
Pinnacle Manufacturing,INV-878656,PO-17342,Scheduled,2026-02-27,BL-0564,Warehouse Expansion,2026-01-13,Sum-of-Years-Digits,10,35460.85
Apex Janitorial,INV-447832,PO-56346,Paid,2026-09-08,BL-0565,Parking Lot,2026-08-09,Double Declining Balance,3,7526.37
Vanguard Equipment Co,INV-724103,PO-25315,Overdue,2019-06-07,EQ-0566,Compressor,2019-05-08,Sum-of-Years-Digits,15,17271.19
Trident HVAC Systems,INV-573858,PO-49666,Pending,2019-06-09,EQ-0567,Generator,2019-05-10,MACRS,10,19734.03
Evergreen Facilities,INV-630573,PO-13268,Partial,2020-12-27,FF-0568,Desk,2020-12-17,MACRS,5,15329.28
Pinnacle Manufacturing,INV-203024,PO-77652,Pending,2021-03-20,EQ-0569,CNC Machine,2021-02-18,Double Declining Balance,7,6296.47
Oasis Water Services,INV-820426,PO-87894,Paid,2019-07-14,EQ-0570,Generator,2019-05-30,Sum-of-Years-Digits,3,15571.74
BlueSky Marketing,INV-895338,PO-50913,Pending,2019-07-18,BL-0571,Parking Lot,2019-07-08,Sum-of-Years-Digits,20,4398.6
Meridian Consulting,INV-256574,PO-30643,Overdue,2021-03-29,FF-0572,Filing Cabinet,2021-02-27,Straight-Line,10,11935.14
Acme Office Supplies,INV-838568,PO-47128,Scheduled,2026-01-05,VH-0573,Forklift,2025-12-26,Double Declining Balance,15,7614.17
Atlas Cloud Services,INV-130401,PO-71700,Paid,2019-11-18,BL-0574,Warehouse Expansion,2019-10-19,Straight-Line,15,6728.67
Nexus Software,INV-721549,PO-92505,Partial,2019-08-19,EQ-0575,HVAC Unit,2019-08-09,MACRS,5,25824.02
Sterling Furniture,INV-952336,PO-71377,Paid,2022-08-02,VH-0576,Truck,2022-07-03,Units of Production,10,10419.49
Evergreen Facilities,INV-746910,PO-43823,Overdue,2026-10-19,EQ-0577,Compressor,2026-09-04,Units of Production,5,6839.6
Atlas Cloud Services,INV-218370,PO-56064,Partial,2026-12-05,FF-0578,Conference Table,2026-11-05,Units of Production,10,504.33
Crestview Landscaping,INV-848969,PO-24022,Overdue,2020-12-30,FF-0579,Chair,2020-11-30,MACRS,15,3046.57
Metro Print & Copy,INV-751034,PO-41941,Scheduled,2019-11-17,BL-0580,Warehouse Expansion,2019-10-18,Double Declining Balance,10,17396.69
Pacific Fleet Services,INV-556501,PO-84345,Overdue,2023-05-02,FF-0581,Chair,2023-04-22,MACRS,20,17822.25
Trident HVAC Systems,INV-219876,PO-87616,Scheduled,2021-09-09,IT-0582,Switch,2021-08-25,Units of Production,20,26505.86
Horizon Telecom,INV-214027,PO-99850,Scheduled,2025-04-02,EQ-0583,Compressor,2025-03-23,Units of Production,7,6459.71
Horizon Telecom,INV-891662,PO-93379,Paid,2024-07-27,IT-0584,Server,2024-07-17,Double Declining Balance,5,31960.18
Silverline Insurance,INV-305171,PO-36956,Overdue,2020-10-18,BL-0585,Warehouse Expansion,2020-09-03,Sum-of-Years-Digits,10,22125.69
Apex Janitorial,INV-635218,PO-62978,Pending,2026-09-14,EQ-0586,CNC Machine,2026-08-15,Sum-of-Years-Digits,3,7849.55
TechVault Solutions,INV-215027,PO-46989,Paid,2023-03-03,IT-0587,Switch,2023-02-21,Double Declining Balance,15,42441.86
Ironclad Security,INV-321476,PO-96833,Pending,2026-12-31,FF-0588,Conference Table,2026-11-16,Units of Production,10,11588.26
Pinnacle Manufacturing,INV-802615,PO-26455,Pending,2021-03-26,FF-0589,Conference Table,2021-02-09,Straight-Line,5,15194.95
Summit Logistics,INV-242371,PO-21097,Pending,2026-04-19,VH-0590,Company Car,2026-04-09,Units of Production,20,22565.77
Crestview Landscaping,INV-959907,PO-68988,Partial,2024-03-27,BL-0591,Office Renovation,2024-02-11,Sum-of-Years-Digits,10,15229.45
Cornerstone IT,INV-348250,PO-75762,Overdue,2021-03-17,BL-0592,Office Renovation,2021-01-31,Units of Production,15,23205.27
Bridgeport Packaging,INV-218661,PO-86056,Partial,2025-03-17,IT-0593,Laptop,2025-02-15,Straight-Line,15,19806.82
Pinnacle Manufacturing,INV-357143,PO-71925,Paid,2024-12-26,EQ-0594,Generator,2024-11-26,MACRS,15,33083.2
Keystone Legal Services,INV-591644,PO-69511,Scheduled,2025-08-01,BL-0595,Office Renovation,2025-07-02,Units of Production,7,23474.99
Apex Janitorial,INV-726667,PO-49855,Scheduled,2022-11-03,FF-0596,Filing Cabinet,2022-09-19,Sum-of-Years-Digits,7,2455.88
TechVault Solutions,INV-405925,PO-91830,Paid,2026-03-07,BL-0597,Office Renovation,2026-01-21,Sum-of-Years-Digits,15,2082.87
Pacific Fleet Services,INV-394620,PO-46073,Overdue,2019-12-19,BL-0598,Office Renovation,2019-12-04,Straight-Line,7,4652.18
Oasis Water Services,INV-947082,PO-32989,Overdue,2020-04-16,BL-0599,Parking Lot,2020-04-01,Double Declining Balance,5,20274.93
Pacific Fleet Services,INV-261638,PO-75004,Partial,2021-01-20,FF-0600,Desk,2021-01-10,Units of Production,5,29771.72
Cornerstone IT,INV-156964,PO-94182,Overdue,2026-07-14,VH-0601,Van,2026-05-30,Straight-Line,15,34022.48
TechVault Solutions,INV-888977,PO-79798,Pending,2021-01-01,EQ-0602,HVAC Unit,2020-11-17,Units of Production,7,20297.0
Silverline Insurance,INV-112439,PO-47852,Partial,2027-01-14,EQ-0603,CNC Machine,2026-11-30,Units of Production,5,25194.95
Silverline Insurance,INV-552760,PO-90017,Overdue,2022-07-27,IT-0604,Router,2022-07-17,Sum-of-Years-Digits,20,18037.7
Vanguard Equipment Co,INV-353542,PO-98065,Scheduled,2022-01-08,FF-0605,Conference Table,2021-12-29,Double Declining Balance,10,30739.24
Redwood Analytics,INV-112542,PO-63903,Paid,2022-10-29,FF-0606,Desk,2022-10-14,MACRS,20,475.5
Greenfield Energy,INV-135695,PO-13106,Scheduled,2026-10-23,FF-0607,Chair,2026-09-08,Straight-Line,20,6563.11
TechVault Solutions,INV-190582,PO-89257,Pending,2025-09-14,BL-0608,Parking Lot,2025-08-30,Units of Production,3,36045.15
Silverline Insurance,INV-792561,PO-19924,Partial,2026-04-22,IT-0609,Switch,2026-04-07,Sum-of-Years-Digits,5,6301.94
Phoenix Data Centers,INV-501393,PO-60933,Overdue,2023-11-14,FF-0610,Chair,2023-10-15,Straight-Line,3,12190.79
Vanguard Equipment Co,INV-511707,PO-33388,Partial,2022-01-04,EQ-0611,Generator,2021-12-20,Straight-Line,10,19538.32
Pinnacle Manufacturing,INV-136554,PO-19557,Paid,2025-03-09,VH-0612,Truck,2025-01-23,MACRS,10,16706.98
Oasis Water Services,INV-139673,PO-97111,Partial,2021-12-07,IT-0613,Printer,2021-10-23,Sum-of-Years-Digits,5,25068.66
Pinnacle Manufacturing,INV-614514,PO-72670,Partial,2026-12-07,EQ-0614,Generator,2026-11-07,Units of Production,15,35522.37
Crestview Landscaping,INV-227091,PO-84349,Scheduled,2019-10-30,IT-0615,Printer,2019-10-15,Sum-of-Years-Digits,20,35887.32
Horizon Telecom,INV-660596,PO-54572,Paid,2026-09-23,EQ-0616,Generator,2026-08-24,Units of Production,20,10820.02
Phoenix Data Centers,INV-829685,PO-61131,Paid,2022-04-17,VH-0617,Truck,2022-04-02,Sum-of-Years-Digits,10,13662.14
Pacific Fleet Services,INV-721748,PO-41258,Partial,2020-01-28,VH-0618,Van,2019-12-14,Units of Production,3,2750.39
Summit Logistics,INV-454123,PO-15611,Partial,2025-02-22,EQ-0619,HVAC Unit,2025-01-23,Straight-Line,3,1030.12
Meridian Consulting,INV-175532,PO-14833,Pending,2026-06-16,BL-0620,Office Renovation,2026-05-02,Units of Production,20,12943.67
Metro Print & Copy,INV-115063,PO-32577,Paid,2019-05-04,BL-0621,Office Renovation,2019-03-20,Sum-of-Years-Digits,5,27156.59
